gradesci,sci_term1 ,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
2.88,3,2.5,2,2.5,3,3.47,28
3.00,2,2.5,2.5,3,3.5,3.61,50
3.15,2.5,2.5,3,3.5,3.5,3.51,38
3.55,3,3,3.5,4,3.5,3.79,40
3.90,4,4,3.5,4,4,3.90,46
3.03,2.5,3,2,3,3.5,3.52,40
2.90,2,2.5,3,3,3,3.60,50
3.53,3,3,3,4,4,3.79,56
3.35,2,3,3,4,4,3.67,48
2.93,2.5,3,2.5,2.5,3.5,3.42,38
2.73,2,2.5,2,2.5,3,3.40,38
2.53,2.5,2,1.5,2,3,3.34,38
3.33,4,2.5,2.5,3,4,3.56,26
3.70,4,3.5,3,4,4,3.78,58
3.30,3.5,3,2.5,3.5,3,3.64,3
3.15,3,2.5,2.5,3,3.5,4.04,30
3.60,3.5,3.5,2.5,4,4,3.81,54
2.56,3,1.5,2,3,3,2.81,30
3.18,2.5,2,3.5,4,3.5,3.59,34
3.56,3.5,3,3.5,3.5,4,3.78,60
2.29,2,1.5,2,2.5,3,2.87,32
1.38,1,1,1.5,2,1,1.90,12
1.44,1,1,1.5,2,1,1.98,20
2.00,2,1,2,2.5,2,2.77,38
2.29,2.5,1.5,1.5,3,2.5,3.12,40
1.85,2,1,2,2.5,1.5,2.33,38
1.71,2,1,2,2,1,2.12,21
2.29,2,2.5,2,2.5,2.5,3.11,28
2.88,2,3,3,3.5,3,2.65,46
3.00,2,2.5,4,2.5,4,3.35,42
2.44,2,2.5,2,3,2.5,2.79,30
2.03,1,1,2,2.5,3,2.73,30
1.76,1.5,1,2.5,2,1.5,2.59,18
2.50,2,1,2.5,3,3.5,2.79,32
2.35,2,2.5,2,2.5,2.5,3.22,32
2.12,1.5,1.5,1.5,2.5,3,3.01,26
2.76,2,2.5,3,2.5,3,3.16,52
2.71,2,2.5,3,3,2.5,3.12,42
4.00,4,4,4,4,4,3.99,72
2.91,2,2.5,2.5,3.5,3.5,3.40,36
3.56,3,3,3.5,4,4,3.74,48
3.32,3.5,3,3.5,3,3.5,3.55,48
3.24,3,3.5,3,3.5,3,3.61,34
1.97,1,1,2,2,3,2.78,12
2.12,2,1,3,2.5,1.5,2.70,38
1.91,2,1,2,2.5,1.5,2.79,40
2.18,2,2,2.5,2.5,1.5,2.89,24
2.79,2,2,3,3,3.5,3.42,28
2.03,1.5,2,1.5,2.5,2,2.72,24
3.88,4,4,3.5,4,4,3.85,68
3.09,3,2,3.5,3,3.5,3.44,40
2.85,3,2,2.5,3,3,3.09,48
3.21,3.5,3,2.5,3.5,3,3.79,20
2.32,1.5,1.5,2.5,2,3,2.73,32
3.15,2.5,2.5,3,3.5,4,3.61,56
2.91,2,2.5,3.5,3.5,3,3.38,38
3.38,3,2.5,4,3.5,3.5,3.72,46
