@relation TrainMath

@attribute grademath numeric
@attribute math_term1 numeric
@attribute math_term2 numeric
@attribute math_term3 numeric
@attribute math_term4 numeric
@attribute math_term5 numeric
@attribute total numeric
@attribute onetmath {excellent,good,fair}

@data
2.75,3,3.5,4,4,3,3.26,good
3.1,2.5,4,4,3,3,3.25,good
2.3,2.5,3.5,3.5,2,2,2.61,good
2.05,3,3.5,3.5,3,3,2.74,good
2.5,4,3.5,2.5,2.5,1,2.74,good
2.6,4,4,4,4,4,3.22,good
2.6,4,4,4,4,3,3.26,good
3.25,4,4,4,4,3,3.43,good
2.45,3,4,4,3.5,3.5,3.16,excellent
1.95,2,3,2,1,1.5,2.58,good
2.35,2.5,4,4,2,2,2.98,good
2.5,3.5,4,4,4,3.5,3.04,good
3.4,3,4,4,4,3.5,3.6,good
3.45,3.5,4,4,4,3.5,3.55,good
3.6,3,3.5,3.5,4,2.5,3.56,fair
3.95,4,4,4,4,4,3.94,excellent
3.9,4,4,4,4,4,3.93,good
3.3,3,3,3.5,4,3.5,3.68,good
3.05,3.5,4,4,4,4,3.61,excellent
3.05,4,4,4,4,3,3.59,good
3.25,4,4,4,4,4,3.77,good
3.9,3.5,4,4,4,4,3.87,good
3.7,3,4,4,4,3,3.69,good
3.4,3.5,3.5,4,4,4,3.5,good
3.75,4,3.5,4,4,3.5,3.73,good
3.3,3.5,4,4,4,4,3.59,good
3.35,4,4,4,4,4,3.65,good
3.35,4,4,4,4,2.5,3.48,excellent
3.3,4,3,4,4,2,3.47,good
3.6,4,4,4,4,2,3.61,good
3.25,3.5,3,4,4,2,3.51,good
3.6,3.5,3,4,4,4,3.79,good
3.8,4,4,4,4,4,3.9,excellent
3.15,4,4,4,3.5,2.5,3.52,good
3.35,3,4,4,4,4,3.6,fair
3.65,3,3.5,4,4,3.5,3.79,good
3.4,3,4,4,4,4,3.67,good
3.15,3.5,4,4,4,2.5,3.42,fair
3.05,3.5,3.5,4,3.5,2.5,3.4,fair
2.9,4,4,4,4,3,3.34,good
3.2,4,4,4,4,4,3.56,good
3.7,4,4,4,4,4,3.78,good
3.45,3,4,4,4,2.5,3.64,fair
3.4,3.5,4,3.5,4,2,4.04,good
3.7,4,4,4,4,4,3.81,good
2.9,3.5,2.5,1,2,1,2.81,good
