gradethai,thai_term1,thai_term2,thai_term3,thai_term4,thai_term5,tatal,onetthai
3.4,3,3.5,4,3,3.5,3.48,excellent
3.4,3,3.5,3.5,3,4,3.47,good
3.5,2.5,3.5,4,3.5,4,3.61,good
3.3,2.5,3,3.5,3.5,4,3.51,good
3.8,3.5,3.5,4,4,4,3.79,good
3.9,3.5,4,4,4,4,3.9,excellent
3.2,2.5,3,4,3.5,3,3.52,good
3.7,3,3.5,4,4,4,3.6,fair
3.7,2.5,4,4,4,4,3.79,good
3.8,3,4,4,4,4,3.67,good
3.1,2,3,4,3.5,3,3.42,fair
3.1,2.5,3,3.5,3.5,3,3.4,fair
3.4,2.5,3,4,4,3.5,3.34,good
3.2,2.5,3,3,4,3.5,3.56,good
3.7,3.5,3,4,4,4,3.78,good
3.7,3,4,4,4,3.5,3.64,fair
3.5,3,3.5,4,4,3,4.04,good
3.6,2.5,3.5,4,4,4,3.81,good
2.6,2.5,2.5,2,3,3,2.81,good
3.6,2.5,3.5,4,4,4,3.59,fair
4,4,4,4,4,4,3.78,good
2.4,1.5,2.5,2.5,2.5,3,2.87,fair
1.2,1.5,1.5,1,1,1,1.9,fair
1.2,1.5,1.5,1,1,1,1.98,fair
3,3,3,3,3,3,2.77,good
2.9,2.5,2.5,2,3.5,4,3.12,good
1.6,2,1.5,1,1.5,2,2.33,fair
1.6,3,2,1,1,1,2.12,fair
2.9,3,3,2.5,3,3,3.11,fair
2.2,1.5,2.5,2.5,2.5,2,2.65,good
2.6,2,2.5,3,3,2.5,3.35,good
2.5,2.5,2.5,2,3,2.5,2.79,fair
2.4,2,1.5,3,2.5,3,2.73,fair
2.4,2,2,2.5,2.5,3,2.59,good
2.2,2.5,2.5,2.5,1,2.5,2.79,good
3.7,4,4,3,4,3.5,3.22,fair
2.9,2.5,2.5,3,3.5,3,3.01,fair
2.8,2,2.5,2.5,3.5,3.5,3.16,good
2.9,2.5,2.5,2.5,3.5,3.5,3.12,good
4,4,4,4,4,4,3.99,good
3.2,3,2.5,3,4,3.5,3.4,fair
3.7,3.5,4,3.5,4,3.5,3.74,good
