gradeeng,eng_term1,eng_term2,eng_term3,eng_term4,eng_term5,total,oneteng
3.60,4,4,3.5,2,3.5,3.79,good
3.81,4,4,3.5,3,4,3.90,good
3.42,3,3.5,3,3,3,3.52,good
3.35,3.5,4,2,2,3.5,3.60,good
3.75,2.5,4,3.5,4,4,3.79,good
3.33,2,4,2.5,3,3.5,3.67,good
3.40,4,4,2.5,2.5,3,3.42,good
3.21,4,4,2.5,1.5,3,3.40,fair
2.88,3,3,2,1.5,2.5,3.34,fair
3.27,3.5,3.5,2.5,2.5,4,3.56,good
3.75,4,4,3.5,3,4,3.78,good
3.50,4,4,2.5,2.5,3,3.64,fair
3.54,4,4,2.5,3,3,4.04,good
3.88,4,4,3,4,4,3.81,good
3.09,4,3.5,3,3,2.5,2.81,fair
3.76,4,4,3,3.5,4,3.59,good
3.94,4,4,4,4,4,3.78,excellent
2.81,3,3,3,3,2.5,2.87,fair
2.48,3,2,2,3.5,2.5,1.90,good
2.26,3,2.5,2,3,1,1.98,good
2.93,3.5,3,2,3.5,2.5,2.77,good
3.59,4,3.5,3.5,3.5,3,3.12,good
3.91,4,4,4,4,4,2.33,good
2.56,4,3.5,2.5,3,1,2.12,good
3.78,4,4,4,4,3,3.11,good
2.91,3,3.5,2.5,3,2.5,2.65,fair
3.19,4,3,3,3,2,3.35,good
2.94,4,4,2,3,3,2.79,good
2.80,3,3,2,3,2.5,2.73,fair
3.41,4,4,3.5,3.5,3,2.59,good
3.50,4,4,3.5,3.5,3,2.79,good
3.07,3,3,2,3,3.5,3.22,fair
2.81,3,2.5,2.5,3,3,3.01,fair
3.26,3.5,2.5,2.5,3.5,3,3.16,fair
2.87,3,2.5,2,3.5,3,3.12,good
3.94,4,4,4,4,3.5,3.99,good
3.57,4,4,2,3.5,3.5,3.40,good
3.83,4,4,4,3.5,3,3.74,good
3.72,4,4,4,3,3.5,3.55,good
3.87,4,4,3.5,3.5,4,3.61,good
2.72,3,1.5,2.5,3,2.5,2.78,fair
3.00,4,4,2,3.5,1,2.70,good
3.07,4,3.5,2.5,3,2.5,2.79,good
2.70,3,2.5,2.5,3,3,2.89,fair
3.67,4,3.5,3,3.5,3.5,3.42,good
2.91,3.5,4,2.5,3,3,2.72,fair
3.93,4,4,3.5,4,4,3.85,good
4.00,4,4,4,4,4,3.44,excellent
3.41,3.5,2.5,3,4,2.5,3.09,good
3.98,4,4,4,4,4,3.79,good
2.67,3,2.5,2,3.5,1.5,2.73,fair
3.83,4,4,3.5,4,4,3.61,excellent
3.46,4,3,3,3.5,3.5,3.38,fair
3.94,4,4,3.5,4,4,3.72,good
2.98,4,2.5,3,3.5,2.5,2.58,good
3.61,4,4,3,4,3,3.52,fair
3.07,3.5,3.5,2.5,3.5,3,3.05,good
3.59,4,4,3,3.5,3.5,3.34,good
2.96,3,2.5,2.5,3,3,3.21,good
3.59,4,3.5,3,4,2.5,3.60,good
2.81,3,3.5,2.5,3.5,2.5,2.73,good
2.69,2.5,2.5,3,3.5,2.5,2.64,good
2.91,4,3,2.5,4,2.5,2.69,good
3.06,3.5,3,3.5,3,2.5,2.77,good
1.96,2,2,2,3.5,1,2.16,fair
1.93,2.5,1.5,1.5,3,1.5,2.18,good
3.26,4,4,3,3.5,2,2.82,good
2.52,2.5,3.5,2,3.5,2,2.49,good
3.83,4,4,4,4,4,3.14,excellent
2.02,2.5,3,2.5,3,1,2.07,good
3.17,4,3.5,3,3.5,2.5,2.88,good
3.31,4,3,4,3.5,2,2.02,good
2.59,3.5,2.5,2.5,3,2.5,2.63,good
3.00,3,3.5,3,3,2.5,3.24,good
3.17,3.5,4,2.5,3.5,2.5,2.83,good
2.39,3.5,2.5,2.5,3,1,2.67,good
3.61,4,4,3.5,3.5,3,3.24,good
3.70,4,4,3.5,4,4,2.53,good
3.63,4,4,4,4,3,3.32,good
