gradesci,sci_term1,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
2.98,3,2.5,2.5,2.5,3.5,3.48,fair
2.88,3,2.5,2,2.5,3,3.47,fair
3,2,2.5,2.5,3,3.5,3.61,good
3.15,2.5,2.5,3,3.5,3.5,3.51,good
3.55,3,3,3.5,4,3.5,3.79,good
3.9,4,4,3.5,4,4,3.9,good
3.03,2.5,3,2,3,3.5,3.52,good
2.9,2,2.5,3,3,3,3.6,good
3.53,3,3,3,4,4,3.79,good
3.35,2,3,3,4,4,3.67,good
2.93,2.5,3,2.5,2.5,3.5,3.42,good
2.73,2,2.5,2,2.5,3,3.4,good
2.53,2.5,2,1.5,2,3,3.34,good
3.33,4,2.5,2.5,3,4,3.56,fair
3.7,4,3.5,3,4,4,3.78,good
3.3,3.5,3,2.5,3.5,3,3.64,fair
3.15,3,2.5,2.5,3,3.5,4.04,fair
3.6,3.5,3.5,2.5,4,4,3.81,good
2.56,3,1.5,2,3,3,2.81,fair
3.18,2.5,2,3.5,4,3.5,3.59,good
3.56,3.5,3,3.5,3.5,4,3.78,good
2.29,2,1.5,2,2.5,3,2.87,fair
1.38,1,1,1.5,2,1,1.9,fair
1.44,1,1,1.5,2,1,1.98,fair
2,2,1,2,2.5,2,2.77,good
2.29,2.5,1.5,1.5,3,2.5,3.12,good
1.85,2,1,2,2.5,1.5,2.33,good
1.71,2,1,2,2,1,2.12,fair
2.29,2,2.5,2,2.5,2.5,3.11,fair
2.88,2,3,3,3.5,3,2.65,good
3,2,2.5,4,2.5,4,3.35,good
2.44,2,2.5,2,3,2.5,2.79,fair
2.03,1,1,2,2.5,3,2.73,fair
1.76,1.5,1,2.5,2,1.5,2.59,fair
2.5,2,1,2.5,3,3.5,2.79,fair
2.35,2,2.5,2,2.5,2.5,3.22,fair
2.12,1.5,1.5,1.5,2.5,3,3.01,fair
2.76,2,2.5,3,2.5,3,3.16,good
2.71,2,2.5,3,3,2.5,3.12,good
4,4,4,4,4,4,3.99,excellent
2.91,2,2.5,2.5,3.5,3.5,3.4,good
3.56,3,3,3.5,4,4,3.74,good
3.32,3.5,3,3.5,3,3.5,3.55,good
3.24,3,3.5,3,3.5,3,3.61,good
1.97,1,1,2,2,3,2.78,fair
2.12,2,1,3,2.5,1.5,2.7,good
1.91,2,1,2,2.5,1.5,2.79,good
2.18,2,2,2.5,2.5,1.5,2.89,fair
2.79,2,2,3,3,3.5,3.42,fair
2.03,1.5,2,1.5,2.5,2,2.72,fair
3.88,4,4,3.5,4,4,3.85,excellent
3.09,3,2,3.5,3,3.5,3.44,good
