Thai,Math,Sci,Eng,Art,Social,Activity,Work,class
4,4,3.85,4,3.9,3.96,3.9,4,calculate
3.8,3.62,3.2,3.56,3.9,3.9,3.9,3.92,general
4,4,3.9,4,3.8,4,3.95,4,calculate
3.3,3.74,2.88,3.4,3.9,3.6,3.8,3.83,general
3.9,4,3.68,3.88,3.7,3.8,3.95,3.83,calculate
2.8,3.34,2.53,2.69,2.9,3.58,3.8,3.67,Social
3,3.3,3,2.88,3.2,3.54,3.6,3.58,Social
3.6,3.02,3.23,2.88,2.5,3.34,3.65,3.75,general
2.6,2.42,2.58,2.44,2.2,2.32,3.1,3.25,general
2.5,3.08,2.78,1.92,1.9,2.64,3.6,3.5,Social
2.7,2.82,2.58,2.71,2.1,2.5,3.25,3.25,general
2.7,3.52,2.65,2.94,3.2,3.46,3.7,3.58,Social
2.7,3.44,3.3,2.92,3.1,3.32,3.5,3.83,general
2.8,3.64,2.63,3.75,3.4,3.74,3.8,3.67,Social
2.8,3.44,2.53,2.5,3.4,3.34,3.5,3.75,general
2.2,1.94,2.58,2.19,2.3,2.62,3.4,3.42,general
2.5,2.82,3.15,2.67,2.9,2.94,3.45,3.42,Social
2.5,3.64,2.48,2.9,2.6,3.24,3.5,3.5,calculate
3.6,3.38,3.15,3.46,3.9,3.84,3.7,3.75,general
3.6,3.48,2.9,3.48,3.8,3.94,3.6,3.58,Social
3.5,3.02,3.08,3.77,3.8,3.86,3.65,3.83,Social
3.9,4,3.8,4,4,4,3.95,3.83,calculate
3.9,4,3.8,3.94,4,4,3.95,3.83,calculate
3.6,3.28,3.43,3.31,4,3.92,3.95,3.92,general
3.7,3.86,3.45,2.77,3.9,3.84,3.6,3.75,general
3.7,3.48,3.38,2.98,3.8,3.86,3.7,3.83,Social
3.8,4,3.78,3.19,4,3.84,3.7,3.83,calculate
4,3.86,3.55,3.85,4,3.9,3.95,3.83,language
3.6,3.4,3.03,3.88,4,3.94,3.8,3.92,general
3.7,3.2,3.05,3.23,3.7,3.84,3.65,3.67,Social
3.8,3.6,3.28,3.81,3.8,3.86,3.95,3.75,Social
3.4,3.66,3.18,3.44,3.9,3.82,3.6,3.75,general
3.6,3.88,3.1,3.35,3.8,3.8,3.8,3.83,calculate
3.4,3.5,2.98,3.48,3.4,3.68,3.85,3.58,Social
3.4,3.12,2.88,3.42,3.6,3.88,3.7,3.75,Social
3.5,3.44,3,3.81,3.8,3.86,3.6,3.83,Social
